time_s,r1_x_km,r1_y_km,r1_z_km,r2_x_km,r2_y_km,r2_z_km,distance_km
0.0,5356.948790731013,4495.013754537969,0.0,4435.434987049326,5215.562372802099,-1424.206772298807,1843.0254832530188
5.0,5341.791325656257,4512.919209633552,-29.598402973397864,4413.338806069414,5226.403273391961,-1452.853036013779,1843.0239664299759
10.0,5326.478202009673,4530.693159300328,-59.19594345614662,4391.114027651182,5237.091885181934,-1481.4569659799363,1843.0224401213654
15.0,5311.009866032509,4548.335085626806,-88.79175898295607,4368.7612997649685,5247.627897172884,-1510.017728852927,1843.0209044788653
20.0,5295.38676850228,4565.8444745603465,-118.38498713925331,4346.281274116448,5258.011002827127,-1538.5344925549011,1843.0193596537642
25.0,5279.609364719499,4583.220815922271,-147.97476558653904,4323.674606127429,5268.2409000773905,-1567.006426298952,1843.0178057969479
30.0,5263.678114494296,4600.463603422856,-177.56023208774226,4300.9419549165395,5278.317291335627,-1595.4327006135209,1843.0162430588766
35.0,5247.593482132882,4617.572334676215,-207.14052453257136,4278.083983279804,5288.239883501714,-1623.812487366765,1843.0146715895771
40.0,5231.355936423898,4634.546511215064,-236.71478096286145,4255.101357671117,5298.008387972006,-1652.1449597908806,1843.0130915386176
45.0,5214.965950624611,4651.385638505357,-266.28213959791475,4231.994748182598,5307.622520647757,-1680.429292506387,1843.011503055098
50.0,5198.424002446996,4668.089225960837,-295.8417388598477,4208.764828524852,5317.082001943408,-1708.6646615463685,1843.009906287621
55.0,5181.730574043677,4684.656786957426,-325.39271739890734,4185.4122760071095,5326.386556794748,-1736.8502443806735,1843.0083013842957
60.0,5164.886151993731,4701.087838847534,-354.93421411880576,4161.937771517265,5335.535914666924,-1764.9852199400714,1843.0066884927076
65.0,5147.891227288369,4717.381902974228,-384.4653682020335,4138.341999501819,5344.529809562335,-1793.068768640363,1843.005067759904
70.0,5130.746295316485,4733.538504685291,-413.98531913516814,4114.625647945701,5353.367980028368,-1821.1000724064459,1843.003439332381
75.0,5113.451855850067,4749.5571733471625,-443.4932067341727,4090.789408351991,5362.050169165026,-1849.0783146963388,1843.0018033560657
80.0,5096.008413029484,4765.4374423587515,-472.9881711696851,4066.833975721546,5370.576124632399,-1877.0026805251543,1843.0001599763025
85.0,5078.416475348641,4781.17884916514,-502.46935299229455,4042.7600485325165,5378.945598658011,-1904.872356489025,1842.9985093378307
90.0,5060.676555640015,4796.780935271156,-531.9358931578098,4018.568328719749,5387.158348044016,-1932.686530788991,1842.9968515847872
95.0,5042.789171059532,4812.243246254832,-561.3869330525122,3994.259521654116,5395.214134174286,-1960.444393254821,1842.995186860665
100.0,5024.754843071359,4827.5653317807455,-590.8216145183962,3969.8343361217126,5403.112723021327,-1988.1451353687996,1842.993515308316
105.0,5006.574097432527,4842.746745613219,-620.2390798783979,3945.2934843029743,5410.853885153088,-2015.7879502894612,1842.9918370699331
110.0,4988.247464177454,4857.787045629424,-649.6384719616055,3920.637681751681,5418.437395739619,-2043.3720328752695,1842.9901522870307
115.0,4969.775477602332,4872.68579383235,-679.0189341284585,3895.8676473738724,5425.863034559588,-2070.8965797082465,1842.9884611004304
120.0,4951.158676249382,4887.44255636364,-708.3796102959265,3870.9841034066544,5433.130586006677,-2098.360789117553,1842.9867636502513
125.0,4932.397602890989,4902.056903516322,-737.7196449626721,3845.987775396914,5440.239839095824,-2125.7638612030155,1842.985060075894
130.0,4913.4928045137185,4916.52840974741,-767.0381832342064,3820.87939217994,5447.190587469339,-2153.104997858592,1842.9833505160145
135.0,4894.444832302181,4930.856653690366,-796.334370848002,3795.6596858579283,5453.98262940287,-2180.383402795796,1842.9816351085276
140.0,4875.254241622814,4945.041218167467,-825.6073541986111,3770.329391778419,5460.615767811247,-2207.598281567056,1842.9799139905838
145.0,4855.921592007502,4959.081690202021,-854.8562803627523,3744.889248512614,5467.089810254171,-2234.7488415890216,1842.978187298552
150.0,4836.447447137089,4972.977661030465,-884.0802971243778,3719.3399978336147,5473.404568941786,-2261.8342921658173,1842.9764551680105
155.0,4816.832374824767,4986.728726114351,-913.2785529997193,3693.682384694555,5479.559860740084,-2288.8538445122326,1842.9747177337292
160.0,4797.0769469993475,5000.334485152183,-942.4501972623127,3667.917157206641,5485.555507176197,-2315.8067117768646,1842.972975129667
165.0,4777.181739688396,5013.794542091149,-971.5943799679987,3642.0450666171173,5491.391334443543,-2342.692109065187,1842.9712274889412
170.0,4757.14733300126,5027.108505138711,-1000.7102519799001,3616.0668672871107,5497.067173406817,-2369.509253462571,1842.969474943823
175.0,4736.974311111967,5040.275986774078,-1029.7969649933736,3589.983316669406,5502.582859606874,-2396.257364057247,1842.9677176257248
180.0,4716.663262242001,5053.296603759546,-1058.8536715609375,3563.795175286119,5507.938233265443,-2422.9356619632017,1842.9659556651868
185.0,4696.214778642973,5066.169977151714,-1087.8795251171737,3537.5032067062843,5513.133139289716,-2449.5433703430103,1842.9641891918588
190.0,4675.629456579152,5078.895732312569,-1116.8736800036002,3511.10817752335,5518.167427276802,-2476.0797144306184,1842.9624183344956
195.0,4654.907896309891,5091.473498920442,-1145.8352914935197,3484.6108573325887,5523.040951518031,-2502.543921554049,1842.9606432209378
200.0,4634.050702071933,5103.902910980843,-1174.7635158168366,3458.0120187084176,5527.753571003123,-2528.935221158054,1842.9588639781016
205.0,4613.0584820615895,5116.183606837154,-1203.6575101848466,3431.3124371816257,5532.305149424213,-2555.2528448266967,1842.9570807319647
210.0,4591.931848416821,5128.315229181209,-1232.516432814995,3404.5128912165274,5536.695555179749,-2581.4960263058756,1842.95529360756
215.0,4570.67141719917,5140.297425063729,-1261.3394429556126,3377.614162188017,5540.924661378235,-2607.66400152578,1842.953502728949
220.0,4549.277808375619,5152.129845904634,-1290.125700910602,3350.617034358544,5544.992345841839,-2633.756008623272,1842.9517082192274
225.0,4527.751645800293,5163.812147503223,-1318.8743680641087,3323.5222948550054,5548.898491109868,-2659.77128796422,1842.9499102005047
230.0,4506.093557196075,5175.343990048234,-1347.5846069051552,3296.3307336455487,5552.642984442088,-2685.709082165744,1842.9481087938918
235.0,4484.304174136091,5186.725038127758,-1376.2555810522374,3269.0431435162986,5556.2257178219215,-2711.5686361184075,1842.9463041194872
240.0,4462.3841320250895,5197.95496073902,-1404.88645527789,3241.6603200479917,5559.646587959487,-2737.349197008336,1842.944496296376
245.0,4440.3340700807,5209.033431298051,-1433.4763955332155,3214.183061592542,5562.905496294513,-2763.0500143392665,1842.9426854426065
250.0,4418.154631314594,5219.960127649207,-1462.0245689723795,3186.612169249514,5566.002348999103,-2788.6703399545236,1842.9408716751866
255.0,4395.846462513511,5230.73473207456,-1490.5301439770656,3158.9484468425244,5568.937056980358,-2814.2094280589304,1842.9390551100678
260.0,4373.410214220195,5241.356931303167,-1518.9922901808961,3131.1927008955504,5571.709535882866,-2839.666535240648,1842.9372358621438
265.0,4350.846540714204,5251.826416520193,-1547.4101784938152,3103.3457406091816,5574.319706091047,-2865.0409204929374,1842.935414045229
270.0,4328.156099992618,5262.142883375911,-1575.7829811264296,3075.4083778367713,5576.767492731356,-2890.3318452358526,1842.933589772052
275.0,4305.339553750638,5272.306031994563,-1604.1098716143126,3047.381427060527,5579.052825674342,-2915.538573337859,1842.9317631542474
280.0,4282.397567362066,5282.315566983095,-1632.3900248422685,3019.265705367509,5581.175639536576,-2940.660371137383,1842.9299343023458
285.0,4259.330809859687,5292.171197439743,-1660.6226170685513,2991.062032425569,5583.135873682431,-2965.696507464281,1842.9281033257616
290.0,4236.1399539155345,5301.872636962509,-1688.8068259490547,2962.771230459203,5584.933472225719,-2990.646253661232,1842.926270332778
295.0,4212.825675821063,5311.419603657485,-1716.9418305614358,2934.3941242253322,5586.568384031195,-3015.5088836050627,1842.9244354305515
300.0,4189.38865546719,5320.81182014704,-1745.0268114292207,2905.931540989008,5588.040562715908,-3040.2836737279895,1842.9225987250932
305.0,4165.829576324259,5330.0490135778855,-1773.0609505458492,2877.3843104990538,5589.349966650428,-3064.969903038781,1842.9207603212612
310.0,4142.149125421865,5339.130915629008,-1801.0434313986882,2848.7532649636228,5590.49655895991,-3089.5668531438514,1842.9189203227418
315.0,4118.347993328622,5348.057262519446,-1828.9734389929827,2820.039239025689,5591.48030752504,-3114.0738082682687,1842.9170788320632
320.0,4094.4268741317655,5356.8277950159545,-1856.8501598757796,2791.243069738464,5592.301184982823,-3138.490055276691,1842.9152359505704
325.0,4070.386465416707,5365.442258440517,-1884.6727821597894,2762.3655965407547,5592.959168727234,-3162.814883694209,1842.9133917784193
330.0,4046.2274682464504,5373.900402677737,-1912.4404955472116,2733.4076612322456,5593.454240909733,-3187.047585727121,1842.9115464145616
335.0,4021.9505871409224,5382.201982182078,-1940.1524913535009,2704.3701079486996,5593.786388439635,-3211.1874562836288,1842.9096999567564
340.0,3997.5565300561925,5390.346755984984,-1967.8079625310977,2675.253783137117,5593.955602984337,-3235.233792994442,1842.9078525015398
345.0,3973.0460083635994,5398.334487701846,-1995.4061036930927,2646.059535530802,5593.961880969407,-3259.185896233305,1842.906004144235
350.0,3948.4197368287696,5406.164945538849,-2022.9461111368587,2616.7882161243847,5593.805223578531,-3283.0430691374418,1842.9041549789301
355.0,3923.6784335905427,5413.837902299669,-2050.4271828676165,2587.440678148759,5593.485636753319,-3306.80461762792,1842.902305098484
360.0,3898.8228201397924,5421.35313539204,-2077.848518621957,2558.0177770459713,5593.003131192972,-3330.4698504299254,1842.9004545945102
365.0,3873.8536212981494,5428.710426834184,-2105.2093198913094,2528.5203704440346,5592.3577223537995,-3354.038079092953,1842.8986035573694
370.0,3848.7715651966337,5435.9095632611,-2132.5087899453547,2498.9493181316866,5591.549430448608,-3377.508618010918,1842.8967520761682
375.0,3823.577383254177,5442.950335930717,-2159.7461338553853,2469.3054820330776,5590.578280445941,-3400.8807844421763,1842.8949002387512
380.0,3798.271810156061,5449.832540729915,-2186.9205585176087,2439.5897261824066,5589.444302069181,-3424.1538985294596,1842.8930481316934
385.0,3772.855583832246,5456.5559781803995,-2214.0312726764105,2409.8029166984898,5588.147529795506,-3447.3272833197266,1842.891195840285
390.0,3747.329445435625,5463.120453444442,-2241.0774869475276,2379.945921759271,5586.688002854713,-3470.4002647839197,1842.889343448544
395.0,3721.6941393201596,5469.525776330482,-2268.0584138412028,2350.0196115762747,5585.065765227894,-3493.3721718366405,1842.8874910391914
400.0,3695.9504130189403,5475.771761298594,-2294.9732677852558,2320.0248583689918,5583.280865645974,-3516.2423363557386,1842.8856386936652
405.0,3670.09901722214,5481.858227465809,-2321.821265148109,2289.9625363392247,5581.333357588109,-3539.010093201798,1842.8837864920943
410.0,3644.1407057548877,5487.784998611309,-2348.601624261751,2259.833521645358,5579.22329927994,-3561.674780237551,1842.8819345133074
415.0,3618.076235555036,5493.551903181465,-2375.313565444638,2229.6386923765867,5576.950753691716,-3584.2357383471895,1842.8800828348183
420.0,3591.906366650856,5499.158774294756,-2401.956311024537,2199.37892852708,5574.515788536259,-3606.6923114555852,1842.8782315328267
425.0,3565.6318621386204,5504.605449746537,-2428.5290853613096,2169.0551119700863,5571.9184762668065,-3629.043846547434,1842.8763806822203
430.0,3539.253488160113,5509.891772013666,-2455.031114869634,2138.668126432008,5569.158894074708,-3651.289693686285,1842.8745303565508
435.0,3512.7720138800423,5515.017588259002,-2481.461628041658,2108.2188574663933,5566.237123886972,-3673.429206033493,1842.8726806280488
440.0,3486.18821146337,5519.982750335758,-2507.8198554696023,2077.7081924278987,5563.153252363691,-3695.461739867074,1842.8708315676067
445.0,3459.502856052544,5524.787114791713,-2534.1050298682862,2047.1370204461846,5559.907370895305,-3717.3866546004638,1842.868983244781
450.0,3432.716725744659,5529.430542873282,-2560.316386097595,2016.5062323997715,5556.499575599747,-3739.203312801189,1842.8671357277933
455.0,3405.8306015685043,5533.912900529461,-2586.453161184895,1985.8167208898406,5552.929967319434,-3760.9110802094356,1842.865289083504
460.0,3378.8452674615673,5538.234058415608,-2612.5145943473512,1955.0693802139829,5549.198651618117,-3782.509325756526,1842.863443377444
465.0,3351.7615102469135,5542.393891897113,-2638.499927014211,1924.265106339916,5545.305738777609,-3803.997421583297,1842.8615986737807
470.0,3324.5801196099947,5546.3922810528975,-2664.4084028490056,1893.4047968791265,5541.251343794352,-3825.3747430583935,1842.8597550353313
475.0,3297.3018880753875,5550.2291106788025,-2690.239267771681,1862.4893510604902,5537.035586375856,-3846.6406687964427,1842.8579125235592
480.0,3269.927610983423,5553.904270290814,-2715.9917699806765,1831.5196697038366,5532.658590937001,-3867.794580676153,1842.8560711985576
485.0,3242.4580864667664,5557.417654128162,-2741.6651599749116,1800.4966551934674,5528.120486596193,-3888.8358638583018,1842.8542311190677
490.0,3214.894115426879,5560.769161156273,-2767.2586905757225,1769.4212114516358,5523.421407171386,-3909.763906803628,1842.8523923424555
495.0,3187.2365015104315,5563.958695069585,-2792.771616948718,1738.2942439119656,5518.561491175959,-3930.5781012906314,1842.8505549247348
